# api_shortname, googleapis-folder, distribution_name:version, googleapis_committish, monorepo_folder
accessapproval, google/cloud/accessapproval/v1, com.google.cloud:google-cloud-accessapproval, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-accessapproval
accesscontextmanager, google/identity/accesscontextmanager/v1, com.google.cloud:google-identity-accesscontextmanager, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-accesscontextmanager
aiplatform, google/cloud/aiplatform/v1, com.google.cloud:google-cloud-aiplatform, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-aiplatform
apigateway, google/cloud/apigateway/v1, com.google.cloud:google-cloud-api-gateway, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-api-gateway
apigeeconnect, google/cloud/apigeeconnect/v1, com.google.cloud:google-cloud-apigee-connect, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-apigee-connect
appengine, google/appengine/v1, com.google.cloud:google-cloud-appengine-admin, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-appengine-admin
artifactregistry, google/devtools/artifactregistry/v1, com.google.cloud:google-cloud-artifact-registry, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-artifact-registry
cloudasset, google/cloud/asset/v1, com.google.cloud:google-cloud-asset, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-asset
assuredworkloads, google/cloud/assuredworkloads/v1, com.google.cloud:google-cloud-assured-workloads, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-assured-workloads
automl, google/cloud/automl/v1, com.google.cloud:google-cloud-automl, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-automl
bigqueryconnection, google/cloud/bigquery/connection/v1, com.google.cloud:google-cloud-bigqueryconnection, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-bigqueryconnection
bigquerydatatransfer, google/cloud/bigquery/datatransfer/v1, com.google.cloud:google-cloud-bigquerydatatransfer, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-bigquerydatatransfer
bigqueryreservation, google/cloud/bigquery/reservation/v1, com.google.cloud:google-cloud-bigqueryreservation, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-bigqueryreservation
cloudbilling, google/cloud/billing/v1, com.google.cloud:google-cloud-billing, 17e6661f8bf43374633adf950454ed8e69bdcee1, java-billing
